# well_id: JAF-MON-035-RAIN
# location: Near point pedro WSS
# recorded_at: 17-09-2026 12:41 (site local time)
date,time,value
22-08-2022,16:30,0.5
22-08-2022,17:30,7.5
22-08-2022,18:30,3
22-08-2022,19:30,1.5
22-08-2022,20:30,0.5
23-08-2022,21:30,3.5
23-08-2022,22:30,0.5
24-08-2022,00:30,0.5
25-08-2022,08:30,27
29-08-2022,10:30,11
31-08-2022,12:30,25.5
31-08-2022,13:30,13
31-08-2022,14:30,10.5
31-08-2022,15:30,2
31-08-2022,17:30,2
31-08-2022,18:30,2
01-09-2022,01:30,0.5
01-09-2022,02:30,0.5
01-09-2022,03:30,1
01-09-2022,04:30,3
01-09-2022,05:30,0.5
01-09-2022,06:30,0.5
11-09-2022,03:30,1
17-09-2022,03:30,1
30-09-2022,07:30,11
07-10-2022,09:30,13.5
09-10-2022,01:30,7
09-10-2022,02:30,14
09-10-2022,03:30,2
09-10-2022,04:30,6
09-10-2022,05:30,1
09-10-2022,06:30,2
09-10-2022,07:30,1.5
12-10-2022,03:30,1
12-10-2022,11:30,9.5
12-10-2022,12:30,3
14-10-2022,07:30,0.5
14-10-2022,08:30,3.5
14-10-2022,09:30,5
18-10-2022,17:30,1.5
20-10-2022,07:30,0.5
20-10-2022,19:30,8
21-10-2022,01:30,3.5
21-10-2022,02:30,2.5
21-10-2022,07:30,1
21-10-2022,08:30,1.5
21-10-2022,09:30,2
21-10-2022,10:30,2
21-10-2022,19:30,9.5
21-10-2022,20:30,22.5
21-10-2022,21:30,6.5
21-10-2022,22:30,5.5
22-10-2022,20:30,1
22-10-2022,22:30,0.5
24-10-2022,06:30,26
24-10-2022,07:30,3.5
25-10-2022,07:30,1
29-10-2022,21:30,1
30-10-2022,00:30,8
30-10-2022,02:30,1.5
30-10-2022,05:30,0.5
30-10-2022,06:30,6
30-10-2022,07:30,0.5
30-10-2022,08:30,0.5
30-10-2022,09:30,0.5
30-10-2022,10:30,1.5
30-10-2022,12:30,4.5
30-10-2022,13:30,14.5
30-10-2022,14:30,1
30-10-2022,16:30,0.5
30-10-2022,17:30,1
31-10-2022,00:30,0.5
31-10-2022,06:30,0.5
31-10-2022,12:30,3.5
31-10-2022,13:30,2.5
31-10-2022,14:30,6
31-10-2022,15:30,3.5
31-10-2022,16:30,5.5
31-10-2022,17:30,8
31-10-2022,18:30,5
31-10-2022,19:30,19
31-10-2022,20:30,5
31-10-2022,21:30,7
31-10-2022,22:30,12
31-10-2022,23:30,4.5
01-11-2022,00:30,2.5
01-11-2022,01:30,0.5
01-11-2022,02:30,1
