# well_id: KUB-MON-004-RAIN
# location: Elrado Somagama Tea Estate- Lunugala
# recorded_at: 17-09-2026 12:31 (site local time)
# units: hourly rainfall in mm (a missing row means no rain in that hour)
date,time,value
21-08-2022,09:30,1
26-08-2022,11:30,2
26-08-2022,13:30,0.5
29-08-2022,08:30,2
29-08-2022,09:30,1.5
29-08-2022,11:30,0.5
30-08-2022,12:30,0.5
30-08-2022,13:30,28.5
30-08-2022,14:30,42.5
30-08-2022,15:30,0.5
31-08-2022,00:30,0.5
31-08-2022,04:30,0.5
31-08-2022,11:30,0.5
03-09-2022,11:30,5
03-09-2022,13:30,1
03-09-2022,14:30,11.5
04-09-2022,09:30,4.5
04-09-2022,10:30,6.5
04-09-2022,11:30,0.5
04-09-2022,12:30,0.5
05-09-2022,09:30,5
05-09-2022,10:30,1
05-09-2022,11:30,10
05-09-2022,12:30,3.5
05-09-2022,13:30,1
05-09-2022,15:30,1
05-09-2022,16:30,0.5
20-09-2022,03:30,1
25-09-2022,18:30,3.5
26-09-2022,02:30,1
26-09-2022,03:30,0.5
26-09-2022,13:30,5
26-09-2022,14:30,23.5
26-09-2022,15:30,1
26-09-2022,16:30,0.5
27-09-2022,09:30,3
27-09-2022,14:30,3.5
08-10-2022,15:30,0.5
08-10-2022,17:30,0.5
08-10-2022,18:30,0.5
09-10-2022,03:30,0.5
09-10-2022,11:30,8
09-10-2022,12:30,6.5
09-10-2022,13:30,16.5
09-10-2022,14:30,16
09-10-2022,15:30,4
09-10-2022,16:30,1
09-10-2022,17:30,0.5
10-10-2022,10:30,1.5
10-10-2022,11:30,1.5
10-10-2022,13:30,0.5
10-10-2022,14:30,1
10-10-2022,15:30,0.5
11-10-2022,10:30,0.5
11-10-2022,15:30,1
11-10-2022,16:30,0.5
12-10-2022,09:30,4.5
12-10-2022,12:30,0.5
12-10-2022,13:30,0.5
12-10-2022,14:30,3
12-10-2022,15:30,0.5
12-10-2022,19:30,0.5
13-10-2022,09:30,1.5
13-10-2022,10:30,7
13-10-2022,11:30,8.5
13-10-2022,12:30,7
13-10-2022,13:30,2
13-10-2022,14:30,1.5
14-10-2022,10:30,1
14-10-2022,11:30,4
14-10-2022,12:30,0.5
14-10-2022,14:30,1
14-10-2022,15:30,0.5
14-10-2022,16:30,0.5
15-10-2022,09:30,3
15-10-2022,10:30,61
15-10-2022,11:30,1
16-10-2022,09:30,18.5
16-10-2022,10:30,15
16-10-2022,11:30,11
17-10-2022,02:30,0.5
17-10-2022,12:30,14
17-10-2022,13:30,7
17-10-2022,14:30,2
17-10-2022,15:30,0.5
17-10-2022,20:30,0.5
21-10-2022,02:30,0.5
21-10-2022,06:30,0.5
22-10-2022,13:30,29.5
23-10-2022,13:30,0.5
23-10-2022,22:30,0.5
